entity,sentiment,text,true_label,predicted_label
TomClancysRainbowSix,Positive,"rocket league, sea of thieves or rainbow six: siege ? i love playing all three on stream but which is the best? stream twitch rocketleague seaofthieves rainbowsixsiege follow",Positive,Irrelevant
CallOfDuty,Negative,the new user for ps5 is oh god,Negative,Positive
Nvidia,Positive,the things i would do for a user 3090.. unspeakable!,Positive,Negative
Overwatch,Neutral,the corruption and knocking up of overwatch babes is a serious mood atm.. pic.twitter.com qny4kmgblv,Neutral,Positive
CallOfDuty,Neutral,"user user i love the call of duty, more unfortunately i'm having a lot of audio bug, every time i'm playing the br mode of the game, the audio just stops, then i have to close it and open dnv the device i'm using is ios.",Neutral,Negative
PlayerUnknownsBattlegrounds(PUBG),Negative,user any chance i could get a list of the maps for the new pubg tdm? i can't seem to find a good list anywhere.,Negative,Neutral
CallOfDutyBlackopsColdWar,Neutral,seems like playstation has the marketing deal for callofdutyblackopscoldwar feels good to be treated well by playstation,Neutral,Positive
TomClancysGhostRecon,Positive,this is how much i enjoy ghostreconbreakpoint and division2 i love the lore of both titles. gaming gamebooks instagram.com p b9feinlnn1u,Positive,Neutral
PlayStation5(PS5),Negative,god when,Negative,Positive
PlayStation5(PS5),Positive,ooh shit i think my motherboard is already compatible,Positive,Irrelevant
WorldOfCraft,Neutral,"this is the current status on the gold making, monthly token purchased if i dont find a stable source of income this will be bad in 3 months mithril and flamebloom were broke by some sellers warcraft! pic.twitter.com l7xmqxwpz0",Neutral,Negative
Hearthstone,Negative,i miss when hearthstone was simpler,Negative,Positive
Facebook,Negative,leaked memo excoriates facebook s slapdash and haphazard response to global political manipulation dlvr.it rgbzjd url,Negative,Neutral
ApexLegends,Irrelevant,wilson,Irrelevant,Neutral
ApexLegends,Positive,feels good to get a victory in apexlegends with your high school buddies. we are all in our late 20's now. user user freaksandgeeks deserved a second season!!,Positive,Neutral
RedDeadRedemption(RDR),Neutral,red dead redemption 2 rdonline rdr2 dailychallengers by simba pic.twitter.com oebblxui9l,Neutral,Positive
Hearthstone,Neutral,joe buck is excited when hearthstone,Neutral,Positive
NBA2K,Negative,"sorta amusing how nba2k has such self-centered community managers that have built up such limited goodwill, that when they released a demo identical to 2k20, everyone was vocal about it being trash nba2k21 url",Negative,Irrelevant
Borderlands,Positive,"completed fustercluck this weekend, rounding off year one of borderlands3. i decided to go back in response and play the original borderlands again as i had the 4k goty version on my pc already. the shooting feels awful. i'm going to try some suggested ini changes tomorrow.",Positive,Neutral
TomClancysRainbowSix,Neutral,user user best combination for enjoying the pro-leagues before i head to montreal to see the finals live. pic.twitter.com o5gx0vf2gz,Neutral,Negative
johnson&johnson,Neutral,big news. numerous great companies are seeing fantastic results. user must move quickly! twitter.com nytimes status,Neutral,Negative
LeagueOfLegends,Neutral,west had a bit of hope for a good playoff finish but it s slowly dying with user getting worse with every game. at least na is getting a few wins ) leagueoflegends worlds2020 lolesports lcs lec,Neutral,Positive
GrandTheftAuto(GTA),Neutral,grand theft auto v pr portugalia adymonteiro.live home,Neutral,Positive
MaddenNFL,Positive,bro this is fire,Positive,Negative
johnson&johnson,Irrelevant,this is dope! puff is such a great kid.,Irrelevant,Positive
Amazon,Negative,plague of corruption is 1 on amazon and 3 on the ny times bestseller list. pic.twitter.com mr2gbn43i9,Negative,Positive
Fortnite,Irrelevant,user thank you fortnite xboxshare pic.twitter.com zwqorfk0jn,Irrelevant,Positive
johnson&johnson,Positive,"johnson johnson regains footing - analysis - 15-04-2020: johnson johnson's stock returned higher with a 4.48 profit, with support from the 50-day .. dlvr.it rtqqdp",Positive,Negative
Amazon,Irrelevant,awesome !! bonecakes..with strawberries and original maple syrup please !! user user user user user user user user user user user user user,Irrelevant,Neutral
johnson&johnson,Negative,sales decline in u.s. canada due to cancer claims. so the company decides to victimize people in the third world.,Negative,Neutral
PlayStation5(PS5),Positive,just so god damn beautiful ps5 pic.twitter.com n14qkprftj,Positive,Negative
WorldOfCraft,Neutral,zysola.blogspot.com p welcome.html zysola tech technews techworld technology innovation world of warcraft had been rated for xbox series x in brazil the l,Neutral,Irrelevant
Facebook,Neutral,woops made a bunch of boomer men mad on facebook lmfaoo pic.twitter.com 3yijbzv2fs,Neutral,Negative
HomeDepot,Irrelevant,this pic is so cute why,Irrelevant,Positive
ApexLegends,Neutral,100 agree. it s also so tiresome to play on and boring to look at. i hope when olympus comes they either rotate it out or we don t see it much.,Neutral,Negative
CS-GO,Positive,best of luck !,Positive,Irrelevant
Facebook,Positive,i am very interested in this,Positive,Irrelevant
RedDeadRedemption(RDR),Positive,red dead redemption got me wanting to move to a mother fucking ranch,Positive,Neutral
CallOfDuty,Neutral,whos ready for some zombie royale warzone stream tonight? user user warzone twitch streamer modernwarfare gulagking user head over to twitch.tv justgln give us a follow and turn notifications on to not miss out on the fun roadtoaffliate,Neutral,Irrelevant
FIFA,Positive,worldcupathome: five african matches you would love to see from fifa googlehits.com worldcupathome url,Positive,Irrelevant
TomClancysRainbowSix,Neutral,time to show my love to a good streamer! head on over to user s channel! hes doing some rainbowsixsiege right now! show him some love,Neutral,Irrelevant
RedDeadRedemption(RDR),Irrelevant,red dead redemption 2 load times xbox series x: 38 seconds ps5: 10-12 seconds xboxseriesx ps5 yet again sony still have the better machine,Irrelevant,Neutral
Borderlands,Neutral,on borderlands two there is a fucking dragon someone help me,Neutral,Negative
GrandTheftAuto(GTA),Neutral,mori,Neutral,Positive
ApexLegends,Irrelevant,communication is key. we bust they ass,Irrelevant,Neutral
Fortnite,Neutral,dusty depot,Neutral,Negative
Amazon,Positive,hated packing this one but at least it sold and arrived safely..lol . resellercommunity flipping thriftshopping thrift goodwill yardsalefinds yardsale garagesale americanpickers ebay amazon sourcing instagram.com p cbbfx5rfqhw,Positive,Neutral
Hearthstone,Negative,shadowverse looks cool but it looks like hearthstone mean that i could get addicted to it and that s the fear i fear,Negative,Irrelevant
Nvidia,Irrelevant,"apple is a no for me, they don t innovate anymore",Irrelevant,Negative
PlayerUnknownsBattlegrounds(PUBG),Irrelevant,worst thing about pubg banned is that all the players didn t knew this ban till the app shown error in playing as non of them is in social media nor watch any news pubgmobile,Irrelevant,Negative
GrandTheftAuto(GTA),Irrelevant,leaked fifa 21 gta 6 gameplay open the link for leaked nudes photos of: lana rhoades riley reid abella danger mia malkova eva elfie brandi love mia khalifa atumn falls nicole aniston lena paul -elsa jean -harry styles -john cena -bts -zsmitty -zoe laverne bit.ly 32e2jxt,Irrelevant,Negative
CallOfDuty,Irrelevant,fuck my mates callofduty modernwarfare callofdutymodernwarfare ps4 ps4share pic.twitter.com rq7o2ruiap,Irrelevant,Negative
GrandTheftAuto(GTA),Positive,. hilarious as fuck,Positive,Negative
CallOfDuty,Irrelevant,"it was ab fab seeing the 6 bungalows built in walsden by user member user with support from user many others. highlights are seeing user family, and andrew bibby and his spade! trustees going beyond the call of duty user (brand colours!) pic.twitter.com xkqnayvdhk",Irrelevant,Neutral
Dota2,Neutral,"my friends are playing dota 2 and i can't understand shit, but it's entertaining as hell",Neutral,Negative
CallOfDuty,Negative,this is chilling,Negative,Irrelevant
RedDeadRedemption(RDR),Positive,rock on mr. black and keep being the most honorable cowboy in red dead redemption 2 brother!! cya next time!! pic.twitter.com 0ieh2y86q4,Positive,Neutral
PlayStation5(PS5),Neutral,"my main reason for wanting the ps5 is because the next god of war will eventually be on it. until i get that announcement, i'll probably be waiting on it. especially since re8 will be on pc anyways. :3 overall i'm excited for the games though! :d",Neutral,Positive
Verizon,Positive,i can get on the phone with user but i can't get on the phone with user you have to be kidding me pic.twitter.com akem9uwz2q,Positive,Negative
MaddenNFL,Neutral,this was crazy disrespectful. the other qbs could see the field from the locker room,Neutral,Negative
Dota2,Negative,dota 2 making league of legends look good rn,Negative,Positive
RedDeadRedemption(RDR),Negative,"red dead redemption 2 broke me, broke my heart. the wild west is a cruel place.",Negative,Neutral
CS-GO,Neutral,rip whole inventory on gamdom crash and stay skinless forever :),Neutral,Positive
MaddenNFL,Positive,still stuck on this madden. forgot i was streaming while working user user user user user user im tryna play yard tho who down?,Positive,Negative
Fortnite,Positive,happy birthday fortnite,Positive,Irrelevant
Facebook,Neutral,in facebook jail for literally nothin.. they ain't even tell me what got reported,Neutral,Negative
PlayerUnknownsBattlegrounds(PUBG),Irrelevant,user cheaters pubgmobile ban this random playre his killed me and my clan teammate .. i report pubg mobile in game plese strict action against cheater .. pic.twitter.com cpyyo6kcbz,Irrelevant,Negative
ApexLegends,Negative,umm wth.. apexlegends pic.twitter.com exchrvg16o,Negative,Positive
FIFA,Neutral,so maria was playing fifa today.,Neutral,Positive
CallOfDutyBlackopsColdWar,Irrelevant,awesome gamer,Irrelevant,Positive
TomClancysRainbowSix,Neutral,user actived the ranked,Neutral,Negative
Microsoft,Positive,a bullshit excuse by apple. the real answer is because they can t get the 30 cut of microsoft s subscription.,Positive,Irrelevant
TomClancysRainbowSix,Positive,this man is so wholesome,Positive,Neutral
CS-GO,Neutral,aiight,Neutral,Positive
GrandTheftAuto(GTA),Positive,grand theft auto 5 (eu) for a good price g2a.com r quicksellgta,Positive,Neutral
GrandTheftAuto(GTA),Negative,holy shit,Negative,Positive
Amazon,Positive,"amazon best sellers: best sports collectibles ift.tt 32vpc7x 100 vintage football cards in old sealed wax packs - perfect for new collectors ift.tt 2re9pfb ift.tt 2q5pvfw april 05, 2020 at 11:31am",Positive,Neutral
johnson&johnson,Neutral,johnson johnson stopped their covid19 trial because a participant got an unexplained illness. the user tweet needs commas. user,Neutral,Negative
Xbox(Xseries),Irrelevant,xsxfridgesweeps amazing,Irrelevant,Positive
RedDeadRedemption(RDR),Neutral,red dead redemption 2 user rdr2 reddeadonline outlawsforlife ps4share pic.twitter.com qhk7znrwm8,Neutral,Negative
AssassinsCreed,Neutral,"old screencaps from assassin's creed odyssey when i found the wonder woman armour for kassandra, and this nightmare of a horse.. pic.twitter.com 7shmvbgsv9",Neutral,Positive
Xbox(Xseries),Irrelevant,"user ya know, the social media sti? is going after the video game blogger user why?! who fuckin cares. just wanted to point out where keem is at in life. painfully lame. gamers ps5 xboxseriesx",Irrelevant,Negative
Verizon,Positive,user you guys are really slow in tuba city. az. makes people go to verizon.,Positive,Negative
Dota2,Irrelevant,"pls guys stop, i'm tired to give you more like of these",Irrelevant,Negative
RedDeadRedemption(RDR),Negative,red dead redemption 2 [day 8] can i shoot micah? i don't like micah. twitch.tv nightmarebearer,Negative,Neutral
HomeDepot,Positive,as much as i don t like the amazon business model nobody going to tell me to wear an ineffective cloth mask.. so user user user user target just lost all my business to amazon.. uhis lunacy is out of control user user user,Positive,Negative
Xbox(Xseries),Positive,getting strong netflix vibes and i like it,Positive,Irrelevant
Battlefield,Irrelevant,this is user and he is trolling people again.. sco bciw troll battlefield5 bfv onlyinbattlefield,Irrelevant,Neutral
Overwatch,Neutral,i'm wheezing,Neutral,Positive
Fortnite,Positive,"funny, did laugh thank you blue fortnite man",Positive,Irrelevant
Overwatch,Neutral,our chinese overwatch fans will be sad to learn that the matches in china during february and march and being rescheduled. pic.twitter.com hvatcpieov,Neutral,Negative
Hearthstone,Positive,user seriously wtf were you thinking this is the worst thing you could possibly do to your player base after these last 2 years. lost all confidence in you guys as a design team. back to hearthstone. fucking sad.,Positive,Negative
TomClancysGhostRecon,Negative,"welp, ghostreconbreakpoint 's immersive update got delayed until later next month.. pic.twitter.com rqk5e2fe10",Negative,Positive
Facebook,Neutral,it s nice not to have facebook anymore but i can t say i hate it when my cuz tells me the latest drama. like how jeremy beuss skinny white ass tries to spout correct gender roles and anti abortion women s health while he displays internalized homophobia and toxic masculinity,Neutral,Negative
TomClancysRainbowSix,Positive,"rainbowsixsiege where are hereford, plane, chalet and fortress in casual?! i miss the maps!!",Positive,Neutral
PlayerUnknownsBattlegrounds(PUBG),Positive,my friend plays korean version pubg and blackpink hylt is bg music omgg i love it pic.twitter.com 5skotzyvga,Positive,Irrelevant
RedDeadRedemption(RDR),Neutral,"gaming gone wrong 11 - fail compilation (red dead redemption 2, cs:go, black ops 4 funny moments) funnyfails.video gaming-gone-wr",Neutral,Positive
Verizon,Neutral,i ve got redteam winning round 2! share who you think will take it and you could win an iphone12 pro with 5g! which team will get the first :dragon:? tune in to find out. user 5gjustgotreal verizonwrsweeps twitter.com i events 13165,Neutral,Irrelevant
Cyberpunk2077,Negative,this is so upsetting,Negative,Positive
WorldOfCraft,Irrelevant,the various people in a bad pvp chat visit out website at wowroleplaying.com twitch.tv wowroleplaying warcraftmemes warcraft worldofwarcraft alliance horde battleforazeroth azeroth forthealliance forthehorde warcraftphotography videogames twitchtv mmorpg url,Irrelevant,Neutral
GrandTheftAuto(GTA),Positive,i wanna do this shit,Positive,Negative
Overwatch,Neutral,facts king talk that shit so much they dont notice,Neutral,Irrelevant
TomClancysRainbowSix,Neutral,"user user look at those hacks, let s get this guy banned, his username is brownmankiller pic.twitter.com 6d7lksmvv2",Neutral,Irrelevant
CallOfDutyBlackopsColdWar,Positive,fucking finallyy,Positive,Irrelevant
PlayStation5(PS5),Positive,more beautiful than most girls i know.. ps5reveal playstation5 ps5 pic.twitter.com 6kp3tewy6r,Positive,Negative
Dota2,Positive,guess i'll broke.,Positive,Negative
Borderlands,Positive,today sucked so it s time to drink wine n play borderlands until the sun comes up so i can hate myself all day tomorrow.,Positive,Neutral
